instant;dteday;season;yr;mnth;holiday;weekday;workingday;weathersit;temp_celsius;windspeed_kh;atemp;hum;casual;registered;cnt
1;01/01/2011;1;0;1;0;6;0;2;14,110847;10,749882;0,363625;80,5833;331;654;985
2;02/01/2011;1;0;1;0;0;0;2;14,902598;16,652113;0,353739;69,6087;131;670;801
3;03/01/2011;1;0;1;0;1;1;1;8,050924;16,636703;0,189405;43,7273;120;1229;1349
4;04/01/2011;1;0;1;0;2;1;1;8,2;10,739832;0,212122;59,0435;108;1454;1562
5;05/01/2011;1;0;1;0;3;1;1;9,305237;12,5223;0,22927;43,6957;82;1518;1600
6;06/01/2011;1;0;1;0;4;1;1;8,378268;6,0008684;0,233209;51,8261;88;1518;1606
7;07/01/2011;1;0;1;0;5;1;2;8,057402;11,304642;0,208839;49,8696;148;1362;1510
8;08/01/2011;1;0;1;0;6;0;2;6,765;17,875868;0,162254;53,5833;68;891;959
9;09/01/2011;1;0;1;0;0;0;1;5,671653;24,25065;0,116175;43,4167;54;768;822
10;10/01/2011;1;0;1;0;1;1;1;6,184153;14,958889;0,150888;48,2917;41;1280;1321
11;11/01/2011;1;0;1;0;2;1;2;6,932731;8,182844;0,191464;68,6364;43;1220;1263
12;12/01/2011;1;0;1;0;3;1;1;7,081807;20,410009;0,160473;59,9545;25;1137;1162
13;13/01/2011;1;0;1;0;4;1;1;6,765;20,167;0,150883;47,0417;38;1368;1406
14;14/01/2011;1;0;1;0;5;1;1;6,59567;8,478716;0,188413;53,7826;54;1367;1421
15;15/01/2011;1;0;1;0;6;0;2;9,566653;10,583521;0,248112;49,875;222;1026;1248
16;16/01/2011;1;0;1;0;0;0;1;9,498347;12,625011;0,234217;48,375;251;953;1204
17;17/01/2011;1;0;1;1;1;0;2;7,209153;12,999139;0,176771;53,75;117;883;1000
18;18/01/2011;1;0;1;0;2;1;2;8,883347;9,833925;0,232333;86,1667;9;674;683
19;19/01/2011;1;0;1;0;3;1;2;11,979134;13,957239;0,298422;74,1739;78;1572;1650
20;20/01/2011;1;0;1;0;4;1;2;10,728347;13,125568;0,25505;53,8333;83;1844;1927
21;21/01/2011;1;0;1;0;5;1;1;7,2775;23,667214;0,157833;45,7083;75;1468;1543
22;22/01/2011;1;0;1;0;6;0;1;2,4243464;11,52199;0,0790696;40;93;888;981
23;23/01/2011;1;0;1;0;0;0;1;3,9573897;16,5222;0,0988391;43,6522;150;836;986
24;24/01/2011;1;0;1;0;1;1;1;3,9930433;10,60811;0,11793;49,1739;86;1330;1416
25;25/01/2011;1;0;1;0;2;1;2;9,162598;8,696332;0,234526;61,6957;186;1799;1985
26;26/01/2011;1;0;1;0;3;1;3;8,9175;19,68795;0,2036;86,25;34;472;506
27;27/01/2011;1;0;1;0;4;1;1;7,995;7,627079;0,2197;68,75;15;416;431
28;28/01/2011;1;0;1;0;5;1;2;8,342598;8,2611;0,223317;79,3043;38;1129;1167
29;29/01/2011;1;0;1;0;6;0;1;8,057402;9,739455;0,212126;65,1739;123;975;1098
30;30/01/2011;1;0;1;0;0;0;1;8,877402;4,9568342;0,250322;72,2174;140;956;1096
31;31/01/2011;1;0;1;0;1;1;2;7,414153;12,541864;0,18625;60,375;42;1459;1501
32;01/02/2011;1;0;2;0;2;1;2;7,879134;3,565271;0,23453;82,9565;47;1313;1360
33;02/02/2011;1;0;2;0;3;1;2;10,66;17,708636;0,254417;77,5417;72;1454;1526
34;03/02/2011;1;0;2;0;4;1;1;7,665237;18,609384;0,177878;43,7826;61;1489;1550
35;04/02/2011;1;0;2;0;5;1;2;8,663464;8,565213;0,228587;58,5217;88;1620;1708
36;05/02/2011;1;0;2;0;6;0;2;9,566653;10,792293;0,243058;92,9167;100;905;1005
37;06/02/2011;1;0;2;0;0;0;1;11,719153;9,5006;0,291671;56,8333;354;1269;1623
38;07/02/2011;1;0;2;0;1;1;1;11,138347;3,0423561;0,303658;73,8333;120;1592;1712
39;08/02/2011;1;0;2;0;2;1;1;9,054153;24,25065;0,198246;53,7917;64;1466;1530
40;09/02/2011;1;0;2;0;3;1;2;5,526103;12,652213;0,144283;49,4783;53;1552;1605
41;10/02/2011;1;0;2;0;4;1;1;5,918268;14,869645;0,149548;43,7391;47;1491;1538
42;11/02/2011;1;0;2;0;5;1;1;7,752731;7,27285;0,213509;50,6364;149;1597;1746
43;12/02/2011;1;0;2;0;6;0;1;9,1225;13,625589;0,232954;54,4167;288;1184;1472
44;13/02/2011;1;0;2;0;0;0;1;12,977402;17,479161;0,324113;45,7391;397;1192;1589
45;14/02/2011;1;0;2;0;1;1;1;17,015;27,999836;0,39835;37,5833;208;1705;1913
46;15/02/2011;1;0;2;0;2;1;1;10,909567;19,522058;0,254274;31,4348;140;1675;1815
47;16/02/2011;1;0;2;0;3;1;1;13,048701;16,869997;0,3162;42,3478;218;1897;2115
48;17/02/2011;1;0;2;0;4;1;1;17,869153;15,416968;0,428658;50,5;259;2216;2475
49;18/02/2011;1;0;2;0;5;1;1;21,388347;17,749975;0,511983;51,6667;579;2348;2927
50;19/02/2011;1;0;2;0;6;0;1;16,365847;34,000021;0,391404;18,7917;532;1103;1635
51;20/02/2011;1;0;2;0;0;0;1;11,693897;14,956745;0,27733;40,7826;639;1173;1812
52;21/02/2011;1;0;2;1;1;0;2;12,436653;20,625682;0,284075;60,5;195;912;1107
53;22/02/2011;1;0;2;0;2;1;1;7,471102;13,110761;0,186033;57,7778;74;1376;1450
54;23/02/2011;1;0;2;0;3;1;1;9,091299;6,305571;0,245717;42,3043;139;1778;1917
55;24/02/2011;1;0;2;0;4;1;2;12,121732;16,783232;0,289191;69,7391;100;1707;1807
56;25/02/2011;1;0;2;0;5;1;2;14,938268;23,218113;0,350461;71,2174;120;1341;1461
57;26/02/2011;1;0;2;0;6;0;1;11,5825;12,500257;0,282192;53,7917;424;1545;1969
58;27/02/2011;1;0;2;0;0;0;1;14,082598;8,391616;0,351109;68;694;1708;2402
59;28/02/2011;1;0;2;0;1;1;2;16,698193;19,408962;0,400118;87,6364;81;1365;1446
60;01/03/2011;1;0;3;0;2;1;1;10,933347;14,500475;0,263879;53,5;137;1714;1851
61;02/03/2011;1;0;3;0;3;1;1;99;20,624811;0,320071;44,9583;231;1903;2134
62;03/03/2011;1;0;3;0;4;1;1;8,131653;15,125518;0,200133;31,8333;123;1562;1685
63;04/03/2011;1;0;3;0;5;1;2;10,728347;13,624182;0,255679;61,0417;214;1730;1944
64;05/03/2011;1;0;3;0;6;0;2;15,750847;16,875357;0,378779;78,9167;640;1437;2077
65;06/03/2011;1;0;3;0;0;0;2;15,437402;23,000229;0,366252;94,8261;114;491;605
66;07/03/2011;1;0;3;0;1;1;1;10,731299;22,870584;0,238461;55,1304;244;1628;1872
67;08/03/2011;1;0;3;0;2;1;1;11,9925;8,08355;0,3024;42,0833;316;1817;2133
68;09/03/2011;1;0;3;0;3;1;2;12,129153;14,75005;0,286608;77,5417;191;1700;1891
69;10/03/2011;1;0;3;0;4;1;3;15,952731;17,545759;0,385668;0;46;577;623
70;11/03/2011;1;0;3;0;5;1;2;12,977402;15,60899;0,305;64,9565;247;1730;1977
71;12/03/2011;1;0;3;0;6;0;1;13,495847;14,791925;0,32575;59,4583;724;1408;2132
72;13/03/2011;1;0;3;0;0;0;1;15,758268;18,130468;0,380091;52,7391;982;1435;2417
