Similac,"Formula, Soy, for Diarrhea, Ready-to-Feed","Soy, for Diarrhea, Ready-to-Feed","Water,857%, Corn Syrup,48%, Sugar,Sucrose,26%, Soy Oil,21%, Soy Protein Isolate,20%, Coconut Oil,14%, Soy Fiber,77% Less Than 5% of: Calcium Citrate, Potassium Citrate, Calcium Phosphate, Potassium Phosphate, Potassium Chloride, Mono- and Diglycerides, Soy Lecithin, Magnesium Chloride, Carrageenan, Sodium Chloride, Ascorbic Acid, Chorine Chloride, L-Methionine, Taurine, Ferrous Sulfate, M-Inositol, Zinc Sulfate, Alpha-Tocopheryl Acetate, L-Carnitine, Niacinamide, Calcium Pantothenate, Cupric Sulfate, Thiamine Chloride Hydrochloride, Vitamin A Palmitate, Riboflavin, Pyridoxine Hydrochloride, Folic Acid, Potassium Iodide, Phylloquinone, Biotin, Sodium Selenite, Vitamin D3 and Cyanocobalamin",100,0,0,0,0,5,fl oz
Stewart's,"Premium Dark Chocolate, with Mint Cookie Crunch",,,280,160,18,11,1,1,bar
Yoplait,"Greek Yogurt, Lemon",,,100,0,0,0,0,1,container
Essential Everyday,Blended Strawberry Lowfat Yogurt,,,240,20,2.5,1.5,4,1,cup
Lancaster,"Soft Cremes, Butterscotch & Caramel",,,180,60,7,5,5,7,pieces
From the Fields,"Porridge, Heirloom Rye, Rosemary Walnut Raisin",,,140,25,2.5,0,10,0.5,cup dry
Wooden Shoe Cheese Co.,Shredded Mozzarella Cheese,,,80,50,6,3.6,0,1,oz
Don Miguel,"Burrito, Bean & Cheese",Bean & Cheese,"Filling: Cooked Beans,Water & Beans, Three Cheese,Pasteurized Process American Cheese, Cheddar Cheese & Monterey Jack Cheese,Cultured Pasteurized Milk, Salt, Enzymes, Natural Vegetable Coloring,Annatto and/or Apocarotenal, Water, Sodium Citrate, Milkfat, and May Contains Calcium Chloride, Water, Green Chilies, Bell Peppers, Contains 2% or Less of: Modified Food Starch, Flavorings Including Paprika, Salt, Dehydrated Onion, Chile Pepper,Red Chile Peppers, Citric Acid, Bell Peppers,Bell Peppers, Water, Citric Acid, Guar Gum, Crushed Red Pepper Tortilla: Enriched Flour,Bleached Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin & Folic Acid, Water, Soybean Oil, Salt, Baking Powder,Sodium Bicarbonate, Sodium Aluminum Sulfate, Corn Starch, Calcium Sulfate, Monocalcium Phosphate, Emulsifier,Sodium Stearoyl Lactylate and Guar Gum, Guar Gum, Sodium Metabisulfite,Dough Conditioner",440,120,14,6,1,1,burrito
Great Value,Red Wine Vinegar,Fine Red Wine,"Red Wine Vinegar,Diluted With Water to 5% Acidity, Potassium Metabisulfite,A Preservative",0,0,0,0,25,1,tbsp
Profile,Sweet Strawberry Smoothie,,,100,10,1,0,7,1,packet
Kemps,Fat Free Skim Milk,,,90,0,0,0,8,1,cup
Meijer,Balsamic Vinaigrette,,,100,90,10,1.5,16,2,tbsp
Giuseppe Alberti Grocery,Benevento Croccantino Allo Strega Chocolatey Covered Hazelnuts,,,210,110,12,5,8,2,pieces
Tinkyada,"Brown Rice 14 Oz, Pasta",Pasta,"Brown Rice, Rice Bran and Water",210,15,2,0,7,56,G
Al Fresco,"Chicken Sausage Burgers, Hot Italian Style",,,150,80,8,2.5,4,1,patty
Ecce Panis,European Baguette,,"Unbleached Enriched Flour,Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid, Water, Contains Less than 2% of Each of the Following: Rice Flour, Salt, Malt Syrup, Yeast, Ascorbic Acid Added as a Dough Conditioner",180,0,0,0,6,3.5,inch slice
Tostitos,"Tortilla Chips, Thick & Hearty Rounds",Thick & Hearty Rounds,"Whole Yellow Corn, Vegetable Oil,Corn, Soybean, Canola and/or Sunflower Oil, salt",140,50,6,1,32,10,chips
Keebler,"Simply Made Cookies, Butter",Simply Made Butter,"Wheat Flour, Butter,Cream, Salt, Sugar, Contains Two Percent Or Less of: Natural Flavor, Salt, Vanilla Extract, Baking Soda, Eggs, Soy Lecithin",140,60,7,4,10,2,cookies
Swanson,"Chicken Breast, White Premium Chunk, in Water","White Premium Chunk, in Water","Cooked Chicken Breast Meat, Water, Contains Less than 2% of the Following: Modified Food Starch, Salt, Sodium Phosphates",70,10,1,0,3,1,can
