day;dteday;season;yr;mnth;holiday;weekday;workingday;weathersit;temp_celsius;windspeed_kh;atemp;hum;casual;registered;cnt
366;01/01/2012;1;1;1;0;0;0;1;15,17;12,875189;0,375621;69,25;686;1608;2294
367;02/01/2012;1;1;1;1;1;0;1;11,194763;22,087555;0,252304;38,1304;244;1707;1951
368;03/01/2012;1;1;1;0;2;1;1;6,15;24,499957;0,126275;44,125;89;2147;2236
369;04/01/2012;1;1;1;0;3;1;2;4,4075;12,3749;0,119337;41,4583;95;2273;2368
370;05/01/2012;1;1;1;0;4;1;1;10,899153;8,709129;0,278412;52,4167;140;3132;3272
371;06/01/2012;1;1;1;0;5;1;1;13,700847;11,249836;0,340267;54,2083;307;3791;4098
372;07/01/2012;1;1;1;0;6;0;1;16,126653;11,708786;0,390779;53,1667;1070;3451;4521
373;08/01/2012;1;1;1;0;0;0;1;13,8375;12,833314;0,340258;46,5;599;2826;3425
374;09/01/2012;1;1;1;0;1;1;2;9,190847;6,6263;0,247479;70,1667;106;2270;2376
375;10/01/2012;1;1;1;0;2;1;1;12,656536;12,565984;0,318826;64,6522;173;3425;3598
376;11/01/2012;1;1;1;0;3;1;2;11,240847;8,791807;0,282821;84,75;92;2085;2177
377;12/01/2012;1;1;1;0;4;1;2;15,6825;12,124789;0,381938;80,2917;269;3828;4097
378;13/01/2012;1;1;1;0;5;1;1;11,240847;25,333236;0,249362;50,75;174;3040;3214
379;14/01/2012;1;1;1;0;6;0;1;7,38;12,541261;0,183087;45,75;333;2160;2493
380;15/01/2012;1;1;1;0;0;0;1;6,833347;16,834286;0,161625;41,9167;284;2027;2311
381;16/01/2012;1;1;1;1;1;0;1;7,79;15,500986;0,190663;52,25;217;2081;2298
382;17/01/2012;1;1;1;0;2;1;2;15,294763;23,39171;0,364278;71,6087;127;2808;2935
383;18/01/2012;1;1;1;0;3;1;1;12,436653;27,833743;0,275254;44,3333;109;3267;3376
384;19/01/2012;1;1;1;0;4;1;1;7,79;14,750586;0,190038;49,75;130;3162;3292
385;20/01/2012;1;1;1;0;5;1;2;8,9175;13,58425;0,220958;45;115;3048;3163
386;21/01/2012;1;1;1;0;6;0;2;7,106653;14,917014;0,174875;83,125;67;1234;1301
387;22/01/2012;1;1;1;0;0;0;2;6,6625;13,375746;0,16225;79,625;196;1781;1977
388;23/01/2012;1;1;1;0;1;1;2;8,951653;7,417436;0,243058;91,125;145;2287;2432
389;24/01/2012;1;1;1;0;2;1;1;14,0425;8,292389;0,349108;83,5833;439;3900;4339
390;25/01/2012;1;1;1;0;3;1;1;12,060847;10,791757;0,294821;64,375;467;3803;4270
391;26/01/2012;1;1;1;0;4;1;2;14,008347;4,9175186;0,35605;76,9583;244;3831;4075
392;27/01/2012;1;1;1;0;5;1;2;17,425;22,958689;0,415383;74,125;269;3187;3456
393;28/01/2012;1;1;1;0;6;0;1;12,949153;14,125543;0,326379;54,3333;775;3248;4023
394;29/01/2012;1;1;1;0;0;0;1;11,5825;16,08335;0,272721;31,125;558;2685;3243
395;30/01/2012;1;1;1;0;1;1;1;11,035847;14,458064;0,262625;40,0833;126;3498;3624
396;31/01/2012;1;1;1;0;2;1;1;15,99;17,541739;0,381317;41,6667;324;4185;4509
397;01/02/2012;1;1;2;0;3;1;1;19,235847;12,667489;0,466538;50,7917;304;4275;4579
398;02/02/2012;1;1;2;0;4;1;2;16,365847;12,541529;0,398971;67,2917;190;3571;3761
399;03/02/2012;1;1;2;0;5;1;1;12,846653;11,959232;0,309346;52,6667;310;3841;4151
400;04/02/2012;1;1;2;0;6;0;2;10,830847;8,167032;0,272725;77,9583;384;2448;2832
401;05/02/2012;1;1;2;0;0;0;2;10,899153;11,791732;0,264521;68,7917;318;2629;2947
402;06/02/2012;1;1;2;0;1;1;1;11,586969;10,3046;0,296426;62,2174;206;3578;3784
403;07/02/2012;1;1;2;0;2;1;1;14,520847;9,874393;0,361104;49,625;199;4176;4375
404;08/02/2012;1;1;2;0;3;1;2;10,523347;8,959307;0,266421;72,2917;109;2693;2802
