day;dteday;season;yr;mnth;holiday;weekday;workingday;casual;registered;cnt
1;01/01/2011;1;0;1;0;6;0;331;654;985
2;02/01/2011;1;0;1;0;0;0;131;670;801
3;03/01/2011;1;0;1;0;1;1;120;1229;1349
4;04/01/2011;1;0;1;0;2;1;108;1454;1562
5;05/01/2011;1;0;1;0;3;1;82;1518;1600
6;06/01/2011;1;0;1;0;4;1;88;1518;1606
7;07/01/2011;1;0;1;0;5;1;148;1362;1510
8;08/01/2011;1;0;1;0;6;0;68;891;959
9;09/01/2011;1;0;1;0;0;0;54;768;822
10;10/01/2011;1;0;1;0;1;1;41;1280;1321
11;11/01/2011;1;0;1;0;2;1;43;1220;1263
12;12/01/2011;1;0;1;0;3;1;25;1137;1162
13;13/01/2011;1;0;1;0;4;1;38;1368;1406
14;14/01/2011;1;0;1;0;5;1;54;1367;1421
15;15/01/2011;1;0;1;0;6;0;222;1026;1248
16;16/01/2011;1;0;1;0;0;0;251;953;1204
17;17/01/2011;1;0;1;1;1;0;117;883;1000
18;18/01/2011;1;0;1;0;2;1;9;674;683
19;19/01/2011;1;0;1;0;3;1;78;1572;1650
20;20/01/2011;1;0;1;0;4;1;83;1844;1927
21;21/01/2011;1;0;1;0;5;1;75;1468;1543
22;22/01/2011;1;0;1;0;6;0;93;888;981
23;23/01/2011;1;0;1;0;0;0;150;836;986
24;24/01/2011;1;0;1;0;1;1;86;1330;1416
25;25/01/2011;1;0;1;0;2;1;186;1799;1985
26;26/01/2011;1;0;1;0;3;1;34;472;506
27;27/01/2011;1;0;1;0;4;1;15;416;431
28;28/01/2011;1;0;1;0;5;1;38;1129;1167
29;29/01/2011;1;0;1;0;6;0;123;975;1098
30;30/01/2011;1;0;1;0;0;0;140;956;1096
31;31/01/2011;1;0;1;0;1;1;42;1459;1501
32;01/02/2011;1;0;2;0;2;1;47;1313;1360
33;02/02/2011;1;0;2;0;3;1;72;1454;1526
34;03/02/2011;1;0;2;0;4;1;61;1489;1550
35;04/02/2011;1;0;2;0;5;1;88;1620;1708
36;05/02/2011;1;0;2;0;6;0;100;905;1005
