day;dteday;weathersit;temp_celsius;windspeed_kh;atemp;hum
1;01/01/2011;2;14,110847;10,749882;0,363625;80,5833
2;02/01/2011;2;14,902598;16,652113;0,353739;69,6087
3;03/01/2011;1;8,050924;16,636703;0,189405;43,7273
4;04/01/2011;1;8,2;10,739832;0,212122;59,0435
5;05/01/2011;1;9,305237;12,5223;0,22927;43,6957
6;06/01/2011;1;8,378268;6,0008684;0,233209;51,8261
7;07/01/2011;2;8,057402;11,304642;0,208839;49,8696
8;08/01/2011;2;6,765;17,875868;0,162254;53,5833
9;09/01/2011;1;5,671653;24,25065;0,116175;43,4167
10;10/01/2011;1;6,184153;14,958889;0,150888;48,2917
11;11/01/2011;2;6,932731;8,182844;0,191464;68,6364
12;12/01/2011;1;7,081807;20,410009;0,160473;59,9545
13;13/01/2011;1;6,765;20,167;0,150883;47,0417
14;14/01/2011;1;6,59567;8,478716;0,188413;53,7826
15;15/01/2011;2;9,566653;10,583521;0,248112;49,875
16;16/01/2011;1;9,498347;12,625011;0,234217;48,375
17;17/01/2011;2;7,209153;12,999139;0,176771;53,75
18;18/01/2011;2;8,883347;9,833925;0,232333;86,1667
19;19/01/2011;2;11,979134;13,957239;0,298422;74,1739
20;20/01/2011;2;10,728347;13,125568;0,25505;53,8333
21;21/01/2011;1;7,2775;23,667214;0,157833;45,7083
22;22/01/2011;1;2,4243464;11,52199;0,0790696;40
23;23/01/2011;1;3,9573897;16,5222;0,0988391;43,6522
24;24/01/2011;1;3,9930433;10,60811;0,11793;49,1739
25;25/01/2011;2;9,162598;8,696332;0,234526;61,6957
26;26/01/2011;3;8,9175;19,68795;0,2036;86,25
27;27/01/2011;1;7,995;7,627079;0,2197;68,75
28;28/01/2011;2;8,342598;8,2611;0,223317;79,3043
29;29/01/2011;1;8,057402;9,739455;0,212126;65,1739
30;30/01/2011;1;8,877402;4,9568342;0,250322;72,2174
31;31/01/2011;2;7,414153;12,541864;0,18625;60,375
32;01/02/2011;2;7,879134;3,565271;0,23453;82,9565
33;02/02/2011;2;10,66;17,708636;0,254417;77,5417
34;03/02/2011;1;7,665237;18,609384;0,177878;43,7826
35;04/02/2011;2;8,663464;8,565213;0,228587;58,5217
36;05/02/2011;2;9,566653;10,792293;0,243058;92,9167
37;06/02/2011;1;11,719153;9,5006;0,291671;56,8333
38;07/02/2011;1;11,138347;3,0423561;0,303658;73,8333
39;08/02/2011;1;9,054153;24,25065;0,198246;53,7917
40;09/02/2011;2;5,526103;12,652213;0,144283;49,4783
41;10/02/2011;1;5,918268;14,869645;0,149548;43,7391
42;11/02/2011;1;7,752731;7,27285;0,213509;50,6364
43;12/02/2011;1;9,1225;13,625589;0,232954;54,4167
44;13/02/2011;1;12,977402;17,479161;0,324113;45,7391
45;14/02/2011;1;17,015;27,999836;0,39835;37,5833
46;15/02/2011;1;10,909567;19,522058;0,254274;31,4348
47;16/02/2011;1;13,048701;16,869997;0,3162;42,3478
48;17/02/2011;1;17,869153;15,416968;0,428658;50,5
49;18/02/2011;1;21,388347;17,749975;0,511983;51,6667
50;19/02/2011;1;16,365847;34,000021;0,391404;18,7917
51;20/02/2011;1;11,693897;14,956745;0,27733;40,7826
52;21/02/2011;2;12,436653;20,625682;0,284075;60,5
53;22/02/2011;1;7,471102;13,110761;0,186033;57,7778
54;23/02/2011;1;9,091299;6,305571;0,245717;42,3043
55;24/02/2011;2;12,121732;16,783232;0,289191;69,7391
56;25/02/2011;2;14,938268;23,218113;0,350461;71,2174
57;26/02/2011;1;11,5825;12,500257;0,282192;53,7917
58;27/02/2011;1;14,082598;8,391616;0,351109;68
59;28/02/2011;2;16,698193;19,408962;0,400118;87,6364
60;01/03/2011;1;10,933347;14,500475;0,263879;53,5
61;02/03/2011;1;13,735;20,624811;0,320071;44,9583
62;03/03/2011;1;8,131653;15,125518;0,200133;31,8333
63;04/03/2011;2;10,728347;13,624182;0,255679;61,0417
64;05/03/2011;2;15,750847;16,875357;0,378779;78,9167
65;06/03/2011;2;15,437402;23,000229;0,366252;94,8261
66;07/03/2011;1;10,731299;22,870584;0,238461;55,1304
67;08/03/2011;1;11,9925;8,08355;0,3024;42,0833
68;09/03/2011;2;12,129153;14,75005;0,286608;77,5417
69;10/03/2011;3;15,952731;17,545759;0,385668;0
70;11/03/2011;2;12,977402;15,60899;0,305;64,9565
71;12/03/2011;1;13,495847;14,791925;0,32575;59,4583
72;13/03/2011;1;15,758268;18,130468;0,380091;52,7391
73;14/03/2011;1;13,333897;9,174042;0,332;49,6957
74;15/03/2011;2;13,013031;12,348703;0,318178;65,5652
75;16/03/2011;2;14,973897;13,608839;0,36693;77,6522
76;17/03/2011;1;17,015;14,041793;0,410333;60,2917
77;18/03/2011;1;22,14;15,478139;0,527009;52,5217
78;19/03/2011;1;19,3725;24,667189;0,466525;37,9167
79;20/03/2011;1;13,6325;13,917307;0,32575;47,375
80;21/03/2011;2;17,647835;19,348461;0,409735;73,7391
81;22/03/2011;1;18,108347;15,12525;0,440642;62,4583
82;23/03/2011;2;14,225237;15,695487;0,337939;83,9565
83;24/03/2011;2;11,685;16,333729;0,270833;80,5833
84;25/03/2011;1;10,830847;15,458575;0,256312;49,5
85;26/03/2011;1;10,899153;14,041257;0,257571;39,4167
86;27/03/2011;2;10,374763;12,3481;0,250339;49,3913
87;28/03/2011;1;10,838268;14,217668;0,257574;30,2174
88;29/03/2011;1;12,4025;15,208732;0,292908;31,4167
89;30/03/2011;2;12,3;11,583496;0,29735;64,6667
90;31/03/2011;3;11,001653;14,582282;0,257575;91,8333
91;01/04/2011;2;12,3;17,333436;0,283454;68,625
92;02/04/2011;2;12,915;13,208782;0,315637;65,375
93;03/04/2011;1;15,511653;12,208271;0,378767;48
94;04/04/2011;1;23,506653;25,833257;0,542929;42,625
95;05/04/2011;2;16,980847;26,000489;0,39835;64,2083
96;06/04/2011;1;16,024153;17,625221;0,387608;47,0833
97;07/04/2011;1;17,9375;10,874904;0,433696;60,2917
98;08/04/2011;2;13,769153;15,208464;0,324479;83,625
99;09/04/2011;2;14,0425;8,916561;0,341529;87,75
100;10/04/2011;2;17,493347;9,833389;0,426737;85,75
101;11/04/2011;2;24,421732;21,739758;0,565217;71,6956
102;12/04/2011;2;20,6025;18,416893;0,493054;73,9167
103;13/04/2011;2;16,9125;16,791339;0,417283;81,9167
104;14/04/2011;1;19,1675;7,4169;0,462742;54,0417
105;15/04/2011;1;18,313347;15,167125;0,441913;67,125
106;16/04/2011;3;17,664153;22,834136;0,425492;88,8333
107;17/04/2011;1;18,723347;20,334232;0,445696;47,9583
108;18/04/2011;1;21,0125;10,958989;0,503146;54,25
109;19/04/2011;2;20,739153;10,584057;0,489258;66,5833
110;20/04/2011;1;24,395;16,208975;0,564392;61,4167
111;21/04/2011;1;18,825847;21,792286;0,453892;40,7083
112;22/04/2011;2;13,803347;14,707907;0,321954;72,9583
113;23/04/2011;2;18,86;15,458575;0,450121;88,7917
114;24/04/2011;2;23,848347;12,875725;0,551763;81,0833
115;25/04/2011;1;24,873347;12,417311;0,5745;77,6667
116;26/04/2011;1;25,898347;21,8755;0,594083;72,9167
117;27/04/2011;2;25,42;20,9174;0,575142;83,5417
118;28/04/2011;2;25,3175;21,500836;0,578929;70,0833
119;29/04/2011;1;20,91;16,084221;0,497463;45,7083
120;30/04/2011;1;19,3725;15,750025;0,464021;50,3333
121;01/05/2011;2;18,518347;7,125718;0,448204;76,2083
122;02/05/2011;2;22,515847;12,291418;0,532833;73
123;03/05/2011;2;25,283347;22,958689;0,582079;69,7083
124;04/05/2011;2;16,980847;22,042732;0,40465;73,7083
125;05/05/2011;1;18,825847;19,791264;0,441917;44,4167
126;06/05/2011;1;19,645847;15,292482;0,474117;59
127;07/05/2011;1;21,32;10,75015;0,512621;54,125
128;08/05/2011;1;21,661653;5,0007125;0,518933;63,1667
129;09/05/2011;1;21,8325;11,792;0,525246;58,875
130;10/05/2011;1;21,8325;7,749957;0,522721;48,9167
131;11/05/2011;1;22,2425;8,083014;0,5284;63,2917
132;12/05/2011;1;21,935;12,707689;0,523363;74,75
133;13/05/2011;2;21,0125;12,041575;0,4943;86,3333
134;14/05/2011;2;21,354153;9,04165;0,500629;92,25
